Código;Descripción;Precio;Stock
6920FSLA5531GB;Portatil Fujitsu Lifebook A553 - WIFI USB - NO WEBCAM - GRADO B (Celeron B730 1.8.Ghz/4GB/320GB/15.6"/DVD/W7P) Preinstalado;95;32 
6920FSLA5534GB;Portatil Fujitsu Lifebook A553 GRADO B (Celeron 1000m 1.8.Ghz/4GB/320GB/15.6"/DVD/W7P) Preinstalado;99;2 
6920LENX2404GB;Portátil Lenovo x240 GRADO B con Bluetooth (Intel Core i5 4300u 1.9Ghz/8GB/500GB/12.5"/NO-DVD/W7P) Preinstalado;189;1 
6920TOR302GB;Portátil Toshiba portege R30 GRADO B (Intel Core I5 4200M 2.5Ghz/4GB/256SSD/13.3"/W7P) Preinstalado;219;2 
6920TOR303GB;Portátil Toshiba portege R30 GRADO B (Intel Core I5 4200M 2.5Ghz/8GB/256SSD/13.3"/W8P) Preinstalado;195;3 
6920TOZ305A;Portátil Toshiba portege Z30 - A (Intel Core I5 - 4300U  1.9Ghz/8GB/256GBSSD/13.3"/W8P) Preinstalado;269;1 
6920DEE72401GB;Portátil Dell Ultrabook E7240 GRADO B (Intel Core i5 4200U 1.6Ghz/8GB/240SSD-M.SATA/12.5"/W7P) Preinstalado;159;1 
6920DEE72501GB;Portátil Dell Ultrabook E7250 GRADO B (Intel Core i5 5200U 2.2Ghz/8GB/240SSD-M.SATA/12.5"/W8P) Preinstalado;209;1 
6920HP2570P1GB;Portátil Hp EliteBook 2570P GRADO B WCAM EXTERNA (Intel Core i5 3210M 2.50Ghz/4GB/320GB/12.1"/DVDRW/W7P) Preinstalado;109;1 
6920HP2570P5GB;Portátil Hp EliteBook 2570P GRADO B WCAM EXTERNA (Intel Core i5 3210M 2.50Ghz/4GB/320GB/12.1"/DVDRW/W8P) Preinstalado;109;6 
6920HP820G13GB;Portátil Ultrabook Hp EliteBook 820 G1 GRADO B  (Intel Core i5 4200u 1.6Ghz/8GB/120SSD/12"/NO-DVD/W8P) Preinstalado;209;2 
6920DE745016GB;Portátil Dell Latitude E7450 GRADO B (Intel Core i5 5300U 2.30Ghz/4GB/120SSD/14"/NO-DVD/W8P) Preinstalado;189;1 
6920DEE54201AGB;Portátil Dell Latitude E5420 (Intel Core i5 2520M 2.5Ghz/4GB/320GB/14"/DVDRW/W7P) Preinstalado;225;4 
6920DEE74407GB;Portátil Dell Ultrabook E7440 GRADO B (Intel Core i5 4300U 1.9Ghz/4GB/120SSD/14"/W8P) Preinstalado;235;1 
6920FSLA5733GB;Portatil Fujitsu Lifebook A573 GRADO B TN (Intel Core i5 3320m 2.3.Ghz/4GB/320GB/15.6"/DVD/W7P) Preinstalado;199;1 
6920FSLA5736GB;Portatil Fujitsu Lifebook A573 SIN WIFI GRADO B (Intel Core i5 3320m 2.3.Ghz/4GB/320GB/15.6"/DVD/W7P) Preinstalado;129;3 
